"Project","Site","Date","Time","Type","Location","Pick up date","depth","lat","lon","SampleID","nitrate isotopes","scint_frozen_yn","anions_yn","cations_yn","water isotopes","TNDOC_pour_yn","filtered_uM","spcond","T","sampled_by","comments","DateTime","year"
"DOD","POKE",2019-05-21,"17:30","stream","up stream of bridge at beach",NA,NA,NA,NA,"133440",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-21 17:30:00,2019
"DOD","STRT",2019-05-21,"12:14","stream","downstream ~30m",NA,NA,NA,NA,"110",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-21 12:14:00,2019
"DOD","STRT",2019-05-21,"12:14","stream","downstream ~30m",NA,NA,NA,NA,"9212",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-21 12:14:00,2019
"DOD","STRT",2019-05-21,"12:14","stream","downstream ~30m",NA,NA,NA,NA,"10096",NA,"n","y","y","10096","n",0.7,NA,NA,NA,NA,2019-05-21 12:14:00,2019
"DOD","VAUL",2019-05-21,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 12",NA,"n","y","y","n","Vault 5/30/19 12",0.7,NA,NA,NA,NA,2019-05-21 20:00:00,2019
"DOD","FRCH",2019-05-22,"15:15","stream","sensors",NA,NA,NA,NA,"10934",NA,"n","y","y","10934","n",0.7,NA,NA,NA,NA,2019-05-22 15:15:00,2019
"DOD","FRCH",2019-05-22,"15:15","stream","sensors",NA,NA,NA,NA,"13309",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-22 15:15:00,2019
"DOD","FRCH",2019-05-22,"15:15","stream","sensors",NA,NA,NA,NA,"133828",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-22 15:15:00,2019
"DOD","MOOS",2019-05-22,"12:45","stream","sensors",NA,NA,NA,NA,"9145",NA,"n","y","y","9145","n",0.7,NA,NA,NA,NA,2019-05-22 12:45:00,2019
"DOD","MOOS",2019-05-22,"12:45","stream","sensors",NA,NA,NA,NA,"10128",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-22 12:45:00,2019
"DOD","MOOS",2019-05-22,"12:46","stream","sensors",NA,NA,NA,NA,"10128","y","y","y","y","y","y",0.7,NA,NA,NA,NA,2019-05-22 12:46:00,2019
"DOD","MOOS",2019-05-22,"12:45","stream","sensors",NA,NA,NA,NA,"133446",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-22 12:45:00,2019
"DOD","POKE",2019-05-22,"20:00","stream","autosampler",NA,NA,NA,NA,"4575",NA,"n","y","y","n","4575",0.7,NA,NA,NA,NA,2019-05-22 20:00:00,2019
"DOD","POKE",2019-05-22,"8:00","stream","autosampler",NA,NA,NA,NA,"14112",NA,"n","y","y","n","14112",0.7,NA,NA,NA,NA,2019-05-22 08:00:00,2019
"DOD","VAUL",2019-05-22,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 13",NA,"n","y","y","n","Vault 5/30/19 13",0.7,NA,NA,NA,NA,2019-05-22 20:00:00,2019
"DOD","POKE",2019-05-23,"8:00","stream","autosampler",NA,NA,NA,NA,"14168",NA,"n","y","y","n","14168",0.7,NA,NA,NA,NA,2019-05-23 08:00:00,2019
"DOD","POKE",2019-05-23,"20:00","stream","autosampler",NA,NA,NA,NA,"14176",NA,"n","y","y","n","14176",0.7,NA,NA,NA,NA,2019-05-23 20:00:00,2019
"DOD","VAUL",2019-05-23,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 14",NA,"n","y","y","n","Vault 5/30/19 14",0.7,NA,NA,NA,NA,2019-05-23 20:00:00,2019
