"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","response"
"Interpolated HI for 88% discharge...194","4",0.0087862689006919,88,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 90% discharge...195","4",-0.0137325084903386,90,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 92% discharge...196","4",0.00426278483152409,92,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 94% discharge...197","4",0.00617223059903949,94,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 96% discharge...198","4",0.00391753448980015,96,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 98% discharge...199","4",-0.0209404901145731,98,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 100% discharge...200","4",0.433796485492433,100,"FRCH_storm3b_06_22_fDOM","FRCH","storm3b","fDOM"
"Interpolated HI for 2% discharge...201","5",0.261649444336126,2,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
"Interpolated HI for 4% discharge...202","5",0.261649444336126,4,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
"Interpolated HI for 6% discharge...203","5",0.261649444336126,6,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
"Interpolated HI for 8% discharge...204","5",0.261649444336126,8,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
"Interpolated HI for 10% discharge...205","5",0.261649444336126,10,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
"Interpolated HI for 12% discharge...206","5",0.261649444336126,12,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
"Interpolated HI for 14% discharge...207","5",0.261649444336126,14,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
"Interpolated HI for 16% discharge...208","5",0.261649444336126,16,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
"Interpolated HI for 18% discharge...209","5",0.261649444336126,18,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
"Interpolated HI for 20% discharge...210","5",0.261649444336126,20,"FRCH_storm3c_06_28_fDOM","FRCH","storm3c","fDOM"
