"","DateTime","DateTimeAK","julian","MOOS","FRCH","POKE","VAUL","STRT","VAUL.Q.int","FRCH.Q.int","MOOS.Q.int","STRT.Q.int","POKE.Q.int"
"65","2021-05-05 09:00:00",2021-05-05 09:00:00,124.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2021-05-05 09:15:00",2021-05-05 09:15:00,124.34375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2021-05-05 09:30:00",2021-05-05 09:30:00,124.354166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2021-05-05 09:45:00",2021-05-05 09:45:00,124.364583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2021-05-05 10:00:00",2021-05-05 10:00:00,124.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2021-05-05 10:15:00",2021-05-05 10:15:00,124.385416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2021-05-05 10:30:00",2021-05-05 10:30:00,124.395833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2021-05-05 10:45:00",2021-05-05 10:45:00,124.40625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2021-05-05 11:00:00",2021-05-05 11:00:00,124.416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2021-05-05 11:15:00",2021-05-05 11:15:00,124.427083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2021-05-05 11:30:00",2021-05-05 11:30:00,124.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2021-05-05 11:45:00",2021-05-05 11:45:00,124.447916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2021-05-05 12:00:00",2021-05-05 12:00:00,124.458333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2021-05-05 12:15:00",2021-05-05 12:15:00,124.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
