"Day","Site","Q"
2021-08-25,"VAUL",484.4500812107
2021-08-26,"FRCH",633.627040950196
2021-08-26,"MOOS",1748.67379136965
2021-08-26,"POKE",847.542972326919
2021-08-26,"STRT",1616.39430590406
2021-08-26,"VAUL",565.492960689432
2021-08-27,"FRCH",647.773100357144
2021-08-27,"MOOS",1653.72411937641
2021-08-27,"POKE",990.436196007277
2021-08-27,"STRT",1478.35596378695
2021-08-27,"VAUL",604.326585440796
2021-08-28,"FRCH",1065.23048618362
2021-08-28,"MOOS",2555.87770417692
2021-08-28,"POKE",982.014415631021
2021-08-28,"STRT",1550.77532871713
2021-08-28,"VAUL",791.92407033591
2021-08-29,"FRCH",840.375295990063
2021-08-29,"MOOS",2044.48227863284
2021-08-29,"POKE",920.340086861428
2021-08-29,"STRT",1449.13224586529
2021-08-29,"VAUL",567.670986448845
2021-08-30,"FRCH",698.600444117734
2021-08-30,"MOOS",1548.15977902844
2021-08-30,"POKE",900.516027404621
2021-08-30,"STRT",1353.08720394087
2021-08-30,"VAUL",418.640749053955
2021-08-31,"FRCH",648.714762394356
2021-08-31,"MOOS",1362.09903264552
2021-08-31,"POKE",912.365928687976
2021-08-31,"STRT",1319.74968290588
2021-08-31,"VAUL",337.771749454014
2021-09-01,"FRCH",618.080970322635
2021-09-01,"MOOS",1205.44180588841
2021-09-01,"POKE",995.935819469325
2021-09-01,"STRT",1280.61271475766
2021-09-01,"VAUL",289.698490245986
2021-09-02,"FRCH",601.509204383823
2021-09-02,"MOOS",1073.16087956079
2021-09-02,"POKE",NA
2021-09-02,"STRT",1237.23109070775
2021-09-02,"VAUL",261.927356042487
2021-09-03,"FRCH",600.342957316593
2021-09-03,"MOOS",1027.41995978711
2021-09-03,"POKE",NA
2021-09-03,"STRT",1200.8948846652
2021-09-03,"VAUL",242.262447207396
2021-09-04,"FRCH",585.05745405482
2021-09-04,"MOOS",933.782622866166
2021-09-04,"POKE",NA
2021-09-04,"STRT",1171.45027769587
2021-09-04,"VAUL",227.684821560981
2021-09-05,"FRCH",577.568656783965
2021-09-05,"MOOS",908.141918246122
2021-09-05,"POKE",NA
2021-09-05,"STRT",1113.71305232033
2021-09-05,"VAUL",216.053014927312
2021-09-06,"FRCH",590.287772589609
2021-09-06,"MOOS",1094.17316874067
2021-09-06,"POKE",NA
2021-09-06,"STRT",1112.07053071823
2021-09-06,"VAUL",222.367722704644
2021-09-07,"FRCH",555.843161408448
2021-09-07,"MOOS",946.785700580564
2021-09-07,"POKE",NA
2021-09-07,"STRT",1065.10613218487
2021-09-07,"VAUL",211.937225242835
2021-09-08,"FRCH",544.350771150511
2021-09-08,"MOOS",866.850155678045
2021-09-08,"POKE",NA
2021-09-08,"STRT",1027.96346905725
2021-09-08,"VAUL",197.643597976541
2021-09-09,"FRCH",533.575958294633
2021-09-09,"MOOS",812.282700445678
2021-09-09,"POKE",647.072932420482
2021-09-09,"STRT",1007.94032841854
2021-09-09,"VAUL",186.521701632852
2021-09-10,"FRCH",521.892951476178
2021-09-10,"MOOS",762.785660736608
2021-09-10,"POKE",600.235982165055
2021-09-10,"STRT",984.927613913087
2021-09-10,"VAUL",174.623517748032
2021-09-11,"FRCH",514.060099116348
2021-09-11,"MOOS",716.079954653216
2021-09-11,"POKE",725.218715446719
2021-09-11,"STRT",972.24456751555
2021-09-11,"VAUL",167.3373164665
2021-09-12,"FRCH",501.305722845785
2021-09-12,"MOOS",674.301649709681
2021-09-12,"POKE",601.818042080017
2021-09-12,"STRT",977.686674450832
2021-09-12,"VAUL",157.094850005515
2021-09-13,"FRCH",502.903308690577
2021-09-13,"MOOS",668.275688796862
2021-09-13,"POKE",515.695486373334
2021-09-13,"STRT",963.759642435334
2021-09-13,"VAUL",156.499418502936
2021-09-14,"FRCH",481.865404824167
2021-09-14,"MOOS",603.106826900521
2021-09-14,"POKE",448.624122751802
2021-09-14,"STRT",875.512291337664
2021-09-14,"VAUL",150.236941559171
2021-09-15,"FRCH",468.937195334129
2021-09-15,"MOOS",563.093426367105
2021-09-15,"POKE",436.818499184714
2021-09-15,"STRT",846.287444962219
2021-09-15,"VAUL",142.548562859228
2021-09-16,"FRCH",467.963408360826
2021-09-16,"MOOS",556.350181661424
2021-09-16,"POKE",416.331488017064
2021-09-16,"STRT",827.221089679972
2021-09-16,"VAUL",140.203398432417
2021-09-17,"FRCH",456.436620963967
2021-09-17,"MOOS",532.495836304211
2021-09-17,"POKE",398.10456244221
2021-09-17,"STRT",788.132648770902
2021-09-17,"VAUL",135.220576910854
2021-09-18,"FRCH",445.514253132448
2021-09-18,"MOOS",501.481528348208
2021-09-18,"POKE",384.517459643168
2021-09-18,"STRT",742.567925041243
2021-09-18,"VAUL",134.400552823973
2021-09-19,"FRCH",439.476405503887
2021-09-19,"MOOS",501.139867177901
2021-09-19,"POKE",390.619690743725
2021-09-19,"STRT",752.373717209126
2021-09-19,"VAUL",132.347881065091
2021-09-20,"FRCH",451.758036338564
2021-09-20,"MOOS",502.652429237145
2021-09-20,"POKE",379.106548841594
2021-09-20,"STRT",717.226103244481
2021-09-20,"VAUL",134.175960239668
2021-09-21,"FRCH",445.706338008383
2021-09-21,"MOOS",531.676387578337
2021-09-21,"POKE",358.513180704864
2021-09-21,"STRT",692.424338053267
2021-09-21,"VAUL",124.450579030921
2021-09-22,"FRCH",426.411323341855
2021-09-22,"MOOS",471.616999897068
2021-09-22,"POKE",286.934940518883
2021-09-22,"STRT",674.639421347391
2021-09-22,"VAUL",109.867730301146
2021-09-23,"FRCH",427.518685420889
2021-09-23,"MOOS",NA
2021-09-23,"POKE",299.551535975131
2021-09-23,"STRT",695.435078911598
2021-09-23,"VAUL",132.41055806536
2021-09-24,"FRCH",434.025111293349
2021-09-24,"MOOS",487.217165536412
2021-09-24,"POKE",254.987965933636
2021-09-24,"STRT",668.521516614747
2021-09-24,"VAUL",120.68473593129
2021-09-25,"FRCH",418.428087961548
2021-09-25,"MOOS",485.762477477953
2021-09-25,"POKE",220.395361742712
2021-09-25,"STRT",641.082281568075
2021-09-25,"VAUL",111.18917039019
2021-09-26,"FRCH",402.26403848351
2021-09-26,"MOOS",456.060258774127
2021-09-26,"POKE",197.036712410093
2021-09-26,"STRT",619.541949559978
2021-09-26,"VAUL",107.433773457282
2021-09-27,"FRCH",395.861135772934
2021-09-27,"MOOS",436.100617433387
2021-09-27,"POKE",NA
2021-09-27,"STRT",610.42438562853
2021-09-27,"VAUL",109.916620651939
2021-09-28,"FRCH",377.603965143039
2021-09-28,"MOOS",NA
2021-09-28,"POKE",NA
2021-09-28,"STRT",NA
2021-09-29,"POKE",NA
2021-09-29,"STRT",NA
2021-09-30,"STRT",NA
