"Site.x","DateTime","MeanDischarge"
"MOOS",2020-06-17 12:15:00,962.272174379526
"MOOS",2020-06-17 12:30:00,964.742627936372
"MOOS",2020-06-17 12:45:00,963.97534283968
"MOOS",2020-06-17 13:00:00,963.039459476204
"MOOS",2020-06-17 13:15:00,963.357729450479
"MOOS",2020-06-17 13:30:00,963.97534283968
"MOOS",2020-06-17 13:45:00,964.443284521432
"MOOS",2020-06-17 14:00:00,967.38167976003
"MOOS",2020-06-17 14:15:00,968.317563123521
"MOOS",2020-06-17 14:30:00,967.849621441768
"MOOS",2020-06-17 14:45:00,968.167891416029
"MOOS",2020-06-17 15:00:00,967.232008052553
"MOOS",2020-06-17 15:15:00,968.317563123521
"MOOS",2020-06-17 15:30:00,970.488673265412
"MOOS",2020-06-17 15:45:00,968.785504805244
"MOOS",2020-06-17 16:00:00,970.956614947165
"MOOS",2020-06-17 16:15:00,971.424556628903
"MOOS",2020-06-17 16:30:00,973.277396796533
"MOOS",2020-06-17 16:45:00,973.745338478286
"MOOS",2020-06-17 17:00:00,973.595666770823
"MOOS",2020-06-17 17:15:00,973.127725089085
"MOOS",2020-06-17 17:30:00,973.277396796533
"MOOS",2020-06-17 17:45:00,974.213280160024
"MOOS",2020-06-17 18:00:00,971.57422833638
"MOOS",2020-06-17 18:15:00,972.042170018118
"MOOS",2020-06-17 18:30:00,972.51011169987
"MOOS",2020-06-17 18:45:00,974.980565256701
"MOOS",2020-06-17 19:00:00,974.213280160024
"MOOS",2020-06-17 19:15:00,972.51011169987
"MOOS",2020-06-17 19:30:00,971.424556628903
"MOOS",2020-06-17 19:45:00,970.806943239702
"MOOS",2020-06-17 20:00:00,972.042170018118
"MOOS",2020-06-17 20:15:00,972.659783407333
"MOOS",2020-06-17 20:30:00,972.191841725595
"MOOS",2020-06-17 20:45:00,970.956614947165
"MOOS",2020-06-17 21:00:00,970.638344972875
"MOOS",2020-06-17 21:15:00,969.871059876212
"MOOS",2020-06-17 21:30:00,970.02073158366
"MOOS",2020-06-17 21:45:00,970.02073158366
"MOOS",2020-06-17 22:00:00,969.403118194459
"MOOS",2020-06-17 22:15:00,968.935176512736
"MOOS",2020-06-17 22:30:00,967.232008052553
"MOOS",2020-06-17 22:45:00,968.467234830983
"MOOS",2020-06-17 23:00:00,966.764066370815
"MOOS",2020-06-17 23:15:00,964.443284521432
"MOOS",2020-06-17 23:30:00,965.360241325572
"MOOS",2020-06-17 23:45:00,963.507401157942
"MOOS",2020-06-18 00:00:00,960.718677626835
"MOOS",2020-06-18 00:15:00,960.718677626835
"MOOS",2020-06-18 00:30:00,960.250735945083
"MOOS",2020-06-18 00:45:00,956.994070732209
"MOOS",2020-06-18 01:00:00,956.526129050486
"MOOS",2020-06-18 01:15:00,954.355018908565
"MOOS",2020-06-18 01:30:00,953.887077226827
"MOOS",2020-06-18 01:45:00,951.715967084921
"MOOS",2020-06-18 02:00:00,952.80152215586
"MOOS",2020-06-18 02:15:00,950.012798624753
"MOOS",2020-06-18 02:30:00,947.224075093633
"MOOS",2020-06-18 02:45:00,946.288191730142
"MOOS",2020-06-18 03:00:00,946.75613341188
"MOOS",2020-06-18 03:15:00,943.499468199021
"MOOS",2020-06-18 03:30:00,943.181198224745
"MOOS",2020-06-18 03:45:00,941.94597144633
"MOOS",2020-06-18 04:00:00,940.860416375377
"MOOS",2020-06-18 04:15:00,938.838977940934
"MOOS",2020-06-18 04:30:00,936.81753950649
"MOOS",2020-06-18 04:45:00,933.261530878692
"MOOS",2020-06-18 05:00:00,933.411202586154
"MOOS",2020-06-18 05:15:00,930.154537373295
"MOOS",2020-06-18 05:30:00,928.451368913142
"MOOS",2020-06-18 05:45:00,927.983427231389
"MOOS",2020-06-18 06:00:00,924.109148629315
"MOOS",2020-06-18 06:15:00,922.256308461685
"MOOS",2020-06-18 06:30:00,921.320425098194
"MOOS",2020-06-18 06:45:00,918.531701567073
"MOOS",2020-06-18 07:00:00,917.44614649612
"MOOS",2020-06-18 07:15:00,916.659934840107
"MOOS",2020-06-18 07:30:00,912.785656238048
"MOOS",2020-06-18 07:45:00,911.082487777865
"MOOS",2020-06-18 08:00:00,908.911377635959
"MOOS",2020-06-18 08:15:00,907.208209175791
"MOOS",2020-06-18 08:30:00,905.186770741362
"MOOS",2020-06-18 08:45:00,904.101215670395
"MOOS",2020-06-18 09:00:00,903.633273988642
"MOOS",2020-06-18 09:15:00,898.67344031563
"MOOS",2020-06-18 09:30:00,898.205498633877
"MOOS",2020-06-18 09:45:00,894.031876616878
"MOOS",2020-06-18 10:00:00,892.478379864173
"MOOS",2020-06-18 10:15:00,892.010438182435
"MOOS",2020-06-18 10:30:00,887.668217898623
"MOOS",2020-06-18 10:45:00,885.96504943844
"MOOS",2020-06-18 11:00:00,885.497107756702
"MOOS",2020-06-18 11:15:00,883.943611003997
"MOOS",2020-06-18 11:30:00,881.005215765428
"MOOS",2020-06-18 11:45:00,879.451719012737
"MOOS",2020-06-18 12:00:00,878.216492234322
"MOOS",2020-06-18 12:15:00,876.513323774154
"MOOS",2020-06-18 12:30:00,876.513323774154
"MOOS",2020-06-18 12:45:00,875.577440410663
"MOOS",2020-06-18 13:00:00,884.411552685749
"MOOS",2020-06-18 13:15:00,887.668217898623
"MOOS",2020-06-18 13:30:00,887.668217898623
"MOOS",2020-06-18 13:45:00,887.349947924333
"MOOS",2020-06-18 14:00:00,886.264392853394
"MOOS",2020-06-18 14:15:00,888.903444677038
"MOOS",2020-06-18 14:30:00,889.371386358776
"MOOS",2020-06-18 14:45:00,889.371386358776
"MOOS",2020-06-18 15:00:00,889.221714651314
"MOOS",2020-06-18 15:15:00,889.221714651314
"MOOS",2020-06-18 15:30:00,889.839328040529
"MOOS",2020-06-18 15:45:00,889.371386358776
"MOOS",2020-06-18 16:00:00,885.96504943844
"MOOS",2020-06-18 16:15:00,885.029166074964
"MOOS",2020-06-18 16:30:00,885.96504943844
"MOOS",2020-06-18 16:45:00,884.411552685749
"MOOS",2020-06-18 17:00:00,882.708384225582
"MOOS",2020-06-18 17:15:00,881.622829154643
